
File                                                                                                                          Removed
biomedical-engineers\education-pd.md                                                                                          professional-development
biomedical-engineers\employment.md                                                                                            employment
biomedical-engineers\allowances\34-shift-allowances.md                                                                        hours, rosters
biomedical-engineers\allowances\35-higher-duties-allowance.md                                                                 preliminary
biomedical-engineers\allowances\36-travelling-allowance.md                                                                    hours, rosters
biomedical-engineers\allowances\37-uniform-and-protective-clothing.md                                                         allowances
biomedical-engineers\allowances\38-childcare-costs.md                                                                         hours, overtime, on-call
biomedical-engineers\allowances\39-allowances-related-to-overtime-and-on-call.md                                              shift-work, rosters
biomedical-engineers\appendices\1-list-of-employers.md                                                                        appendices
biomedical-engineers\appendices\2-wage-rates.md                                                                               allowances, leave, annual-leave
biomedical-engineers\appendices\3-fixed-term-contract-conversion.md                                                           appendices
biomedical-engineers\appendices\4-certificate-of-service.md                                                                   leave, long-service-leave, personal-leave
biomedical-engineers\classification-staffing\80-classification-and-reclassification.md                                        preliminary
biomedical-engineers\classification-staffing\81-disclosure-of-qualification.md                                                preliminary
biomedical-engineers\classification-staffing\82-classification-definitions.md                                                 preliminary
biomedical-engineers\classification-staffing\83-progression.md                                                                employment, preliminary
biomedical-engineers\classification-staffing\84-workload.md                                                                   overtime, staffing
biomedical-engineers\consultation-disputes\13-consultation.md                                                                 leave, parental-leave, union-matters
biomedical-engineers\consultation-disputes\14-dispute-resolution-procedure.md                                                 leave, preliminary
biomedical-engineers\consultation-disputes\16-discipline.md                                                                   union-matters
biomedical-engineers\education-pd\71-supporting-professional-development.md                                                   leave
biomedical-engineers\education-pd\72-professional-development-leave.md                                                        leave
biomedical-engineers\education-pd\73-study-leave.md                                                                           employment, preliminary
biomedical-engineers\education-pd\74-examination-leave.md                                                                     wages
biomedical-engineers\education-pd\75-staff-appraisals.md                                                                      preliminary
biomedical-engineers\education-pd\76-vacancies.md                                                                             consultation
biomedical-engineers\education-pd\77-replacement-positions-the-royal-children-s-and-the-royal-wom.md                          union-matters, flexible-work, preliminary, workload
biomedical-engineers\employment\17-secure-employment.md                                                                       preliminary
biomedical-engineers\employment\18-full-time-employment.md                                                                    hours
biomedical-engineers\employment\19-part-time-employment.md                                                                    hours
biomedical-engineers\employment\20-casual-employment.md                                                                       hours, overtime, preliminary
biomedical-engineers\employment\24-redundancy-and-associated-entitlements.md                                                  wages, preliminary
biomedical-engineers\employment\25-transition-to-retirement.md                                                                preliminary
